Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Donte Frantz,Slider,2,0,2,1.1,74.15,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,2598.0,50.0,100.0
Cade Starrick,Fastball,93,49,35,52.5,84.22,6,4,2,0,0,4,15,0.3,0.25,0.4,0.529,0.189,0.44,80.57,22.44,2241.0,9.68,19.05
Cade Starrick,Slider,79,53,23,44.6,76.69,6,6,0,0,0,5,14,0.3,0.296,0.3,0.41,0.143,0.39,79.37,9.13,2418.0,10.13,22.73
Cade Starrick,Changeup,5,2,3,2.8,79.81,1,1,0,0,0,0,1,1.0,0.917,1.0,0.938,0.019,0.859,80.41,16.3,1679.0,20.0,0.0
Joey Kahwaji,Knuckleball,145,111,32,66.5,58.13,9,6,1,1,1,5,30,0.257,0.301,0.429,0.347,0.243,0.383,75.1,23.24,226.0,9.66,15.15
Joey Kahwaji,Fastball,72,57,14,33.0,74.7,0,0,0,0,0,8,8,0.0,0.12,0.0,0.125,0.062,0.313,70.2,26.54,1852.0,9.72,40.0
Joey Kahwaji,Changeup,1,1,0,0.5,76.32,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1845.0,0.0,NaN
Noah Suttles,Fastball,32,25,7,11.9,85.57,3,3,0,0,0,0,7,0.429,0.25,0.429,0.4,0.044,0.41,84.23,14.46,2097.0,3.12,0.0
Noah Suttles,Cutter,23,19,4,8.6,79.33,1,1,0,0,0,0,2,0.5,0.417,0.5,0.5,0.012,0.546,88.93,12.02,2319.0,8.7,0.0
Noah Suttles,Changeup,51,28,22,19.0,73.23,3,2,0,1,0,3,16,0.158,0.146,0.263,0.211,0.063,0.225,70.64,23.03,1328.0,7.84,23.08
Noah Suttles,Slider,76,61,13,28.3,74.99,5,5,0,0,0,5,18,0.217,0.245,0.217,0.323,0.059,0.328,77.42,12.66,2401.0,9.21,27.78
Noah Suttles,Sinker,81,49,27,30.1,85.09,3,3,0,0,0,2,13,0.2,0.303,0.2,0.438,0.09,0.388,82.74,24.88,2082.0,4.94,9.52
Noah Suttles,Curveball,6,5,1,2.2,73.63,0,0,0,0,0,0,1,0.0,0.417,0.0,1.5,0.0,0.894,93.2,23.32,2475.0,0.0,0.0
Devan Tupper,Slider,96,74,22,37.2,77.62,7,7,0,0,0,9,16,0.28,0.259,0.28,0.316,0.108,0.284,80.3,18.74,2090.0,14.58,32.14
Devan Tupper,Fastball,144,86,54,55.8,85.63,15,14,1,0,0,3,37,0.385,0.371,0.41,0.397,0.223,0.37,78.29,13.82,1682.0,4.86,12.0
Devan Tupper,Sinker,1,1,0,0.4,85.55,0,0,0,0,0,0,1,0.0,0.25,0.0,0.25,0.0,0.167,86.95,-8.81,1638.0,0.0,0.0
Devan Tupper,Curveball,2,2,0,0.8,76.66,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2065.0,0.0,0.0
Devan Tupper,Splitter,12,6,5,4.7,79.75,2,2,0,0,0,0,2,1.0,1.0,1.0,1.188,0.035,0.938,86.71,11.51,1331.0,0.0,0.0
Devan Tupper,Changeup,3,0,3,1.2,78.13,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1221.0,0.0,0.0
Cooper Stolfa,Fastball,176,143,33,79.3,79.52,6,3,2,0,1,5,19,0.25,0.272,0.458,0.467,0.415,0.418,79.27,25.22,2060.0,7.39,11.9
Cooper Stolfa,Cutter,8,8,0,3.6,71.88,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,64.82,47.66,1877.0,0.0,0.0
Cooper Stolfa,Splitter,4,4,0,1.8,68.22,1,0,1,0,0,0,1,1.0,0.667,2.0,0.688,0.033,0.636,70.54,31.3,1295.0,0.0,0.0
Cooper Stolfa,Changeup,4,4,0,1.8,72.01,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1439.0,0.0,0.0
Cooper Stolfa,Curveball,26,19,7,11.7,68.33,3,2,1,0,0,1,4,0.6,0.3,0.8,0.338,0.119,0.237,81.66,21.92,1641.0,19.23,16.67
Cooper Stolfa,Slider,1,1,0,0.5,72.27,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1804.0,0.0,NaN
Cooper Stolfa,Sinker,3,2,1,1.4,74.34,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1788.0,33.33,0.0
Tyler Dowling,Fastball,42,31,9,58.3,84.3,2,1,1,0,0,2,10,0.167,,0.25,,0.159,,80.25,16.58,1930.0,4.76,28.57
Tyler Dowling,Curveball,8,6,1,11.1,73.69,0,0,0,0,0,1,1,0.0,,0.0,,0.039,,62.77,12.58,2306.0,0.0,20.0
Tyler Dowling,Changeup,15,9,4,20.8,79.16,0,0,0,0,0,0,0,0.0,,0.0,,0.039,,,,1569.0,13.33,0.0
Tyler Dowling,Cutter,7,6,0,9.7,81.22,1,1,0,0,0,0,1,1.0,,1.0,,0.05,,80.94,14.75,2173.0,14.29,0.0
Adan Nieves,Cutter,18,8,10,18.2,77.96,1,0,1,0,0,0,2,0.5,0.25,1.0,0.688,0.079,0.556,78.17,30.65,1762.0,5.56,0.0
Adan Nieves,Curveball,17,9,7,17.2,66.51,1,1,0,0,0,2,2,0.25,0.306,0.25,0.333,0.065,0.313,71.08,-15.78,1980.0,0.0,33.33
Adan Nieves,Changeup,13,7,5,13.1,71.61,0,0,0,0,0,1,3,0.0,0.389,0.0,0.417,0.0,0.408,63.88,-2.41,1427.0,15.38,20.0
Adan Nieves,Slider,2,1,1,2.0,68.34,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.029,0.0,,,1543.0,50.0,50.0
Adan Nieves,Fastball,49,31,16,49.5,80.05,5,5,0,0,0,1,10,0.455,0.4,0.455,0.575,0.234,0.537,79.41,9.75,1869.0,6.12,7.69
Madden Johnson,Fastball,82,72,10,54.7,85.27,4,1,3,0,0,7,13,0.182,0.225,0.318,0.388,0.161,0.289,80.41,8.77,2002.0,21.95,38.89
Madden Johnson,Curveball,9,8,1,6.0,73.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.019,0.0,,,1999.0,22.22,50.0
Madden Johnson,Changeup,15,12,3,10.0,78.85,2,2,0,0,0,1,5,0.333,0.267,0.333,0.362,0.103,0.37,81.69,15.14,1447.0,6.67,25.0
Madden Johnson,Slider,38,34,4,25.3,74.5,2,2,0,0,0,0,5,0.4,0.25,0.4,0.312,0.047,0.278,80.31,18.89,1966.0,0.0,0.0
Madden Johnson,Splitter,6,5,1,4.0,78.07,1,0,1,0,0,0,2,0.5,,1.0,,0.033,,89.11,31.28,1486.0,0.0,NaN
Brayden Zilis,Fastball,10,10,0,55.6,90.07,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.232,,,,2333.0,20.0,20.0
